run_id,evaldir,meta_hash,suite,checkpoint,device,episodes,seeds,policy,baseline_kind,ablations,model_config_hash
suite_policy_ckpt_256_0_1_2_3_4_5_6_7_8_9_cd88ebe7,/mnt/c/Users/Angel/Desktop/CS598/acpl-qwalk/eval/robust-line-disorder/seed2/robust_sweep/robust_sweeps/ckpt_policy/edge_phase,cd88ebe7a82701c6ea6034fe99ef23b7,,,,256,"0,1,2,3,4,5,6,7,8,9",,,,
suite_policy_ckpt_256_0_1_2_3_4_5_6_7_8_9_d0776e84,/mnt/c/Users/Angel/Desktop/CS598/acpl-qwalk/eval/robust-line-disorder/seed0/robust_sweep/robust_sweeps/ckpt_policy_abl_GlobalCoin/coin_dephase,d0776e84d46688da4669a3ecf23ee493,,,,256,"0,1,2,3,4,5,6,7,8,9",,,,
suite_policy_ckpt_256_0_1_2_3_4_5_6_7_8_9_d50dffc8,/mnt/c/Users/Angel/Desktop/CS598/acpl-qwalk/eval/robust-line-disorder/seed2/robust_sweep/robust_sweeps/ckpt_policy_abl_GlobalCoin/edge_phase,d50dffc8841c263a613e47624ee7d82d,,,,256,"0,1,2,3,4,5,6,7,8,9",,,,
suite_policy_ckpt_256_0_1_2_3_4_5_6_7_8_9_d800170e,/mnt/c/Users/Angel/Desktop/CS598/acpl-qwalk/eval/robust-line-disorder/seed0/robust_sweep/robust_sweeps/ckpt_policy_abl_TimeFrozen/edge_phase,d800170e2d3b379ec3fb7dcdadfa696d,,,,256,"0,1,2,3,4,5,6,7,8,9",,,,
suite_policy_ckpt_256_0_1_2_3_4_5_6_7_8_9_fedf3e40,/mnt/c/Users/Angel/Desktop/CS598/acpl-qwalk/eval/robust-line-disorder/seed1/robust_sweep/robust_sweeps/ckpt_policy_abl_TimeFrozen/coin_dephase,fedf3e409f4c91b2bd1bf17f9ef62578,,,,256,"0,1,2,3,4,5,6,7,8,9",,,,
mixing-grid_baseline_ckpt_256_0_1_2_3_4_5_6_7_8_9_9fb25867,/mnt/c/Users/Angel/Desktop/CS598/acpl-qwalk/eval/mixing-grid/baseline/hadamard,9fb25867090653bdb8b6a63cd9b4114a,mixing-grid,,cpu,256,"0,1,2,3,4,5,6,7,8,9",baseline,hadamard,,e9dbe54e4021d464ee609a5e157ce512
mixing-grid_ckpt_seed0_256_0_1_2_3_4_5_6_7_8_9_dd0c89e8,/mnt/c/Users/Angel/Desktop/CS598/acpl-qwalk/eval/mixing-grid/seed0/main,dd0c89e87c5c8ebaa5258dc6469bbda1,mixing-grid,runs/mixing-grid/seed0,cpu,256,"0,1,2,3,4,5,6,7,8,9",ckpt,,"NoPE,GlobalCoin,TimeFrozen,NodePermute",3ae5bfc53adcd95c67c98abf8415421c
mixing-grid_ckpt_seed1_256_0_1_2_3_4_5_6_7_8_9_dc696e30,/mnt/c/Users/Angel/Desktop/CS598/acpl-qwalk/eval/mixing-grid/seed1/main,dc696e3000ea5f4c419a685c2f9ef683,mixing-grid,runs/mixing-grid/seed1,cpu,256,"0,1,2,3,4,5,6,7,8,9",ckpt,,"NoPE,GlobalCoin,TimeFrozen,NodePermute",3ae5bfc53adcd95c67c98abf8415421c
mixing-grid_ckpt_seed2_256_0_1_2_3_4_5_6_7_8_9_7106df31,/mnt/c/Users/Angel/Desktop/CS598/acpl-qwalk/eval/mixing-grid/seed2/main,7106df3102cc85a0a849de4799919557,mixing-grid,runs/mixing-grid/seed2,cpu,256,"0,1,2,3,4,5,6,7,8,9",ckpt,,"NoPE,GlobalCoin,TimeFrozen,NodePermute",3ae5bfc53adcd95c67c98abf8415421c
robust-line-disorder_baseline_ckpt_256_0_1_2_3_4_5_6_7_8_9_7ce1d6fc,/mnt/c/Users/Angel/Desktop/CS598/acpl-qwalk/eval/robust-line-disorder/baseline/hadamard,7ce1d6fc1bc8234b62a7c633a73bbea7,robust-line-disorder,,cpu,256,"0,1,2,3,4,5,6,7,8,9",baseline,hadamard,,29a3f63d0fb0ab2903dc1b15a17df108
